CR #,Build,,Owner,Issues,Analysis,Date,CRs
IKUT-815082,LPD23.215,,Cesar,Ok,Closed - Cancelled,,
IKUT-815109,LPD23.215,,Cesar,com.freshmint.cat.voice.translator : AudioMix,Moved to 3rd party - IKSWL-39544,,
IKUT-815227,LPD23.216 retail,,André Marangone,Ok,Closed - Cancelled,10/27/2015,9
IKUT-815178,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815181,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815182,LPD23.215 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815349,LPD23.215 retasia,,André Marangone,Wifi Tethering,Invalid,,
IKUT-815165,LPD23.215,,André Marangone,"Hola Launcher' (com.hola.launcher) -- high cons
'Recharge, Shop and Wallet' (net.one97.paytm) -- alarms
S Health app (com.sec.android.app.shealth) -- tag: PedometerLib","Moved to 3rd Party - MotoDev: IKSWL-39624
Dup: IKSWL-38343
Dup: IKSWL-39022",,
IKUT-815260,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815310,LPD23.215,,André Marangone,Logs missing,Incomplete,,
IKUT-815318,LPD23.215,,André Marangone,(com.zipgo.customer) -- java wakelock,Dup: IKSWL-39313,,
IKUT-815718,LPD23.216 retasia,,André Marangone,DIAG_WS,Dup: IKSWL-38525,10/28/2015,9
IKUT-815515,LPD23.215 retasia,,André Marangone,"xmeye (com.mobile.myeye) running nonstop in background, consuming ~6% of CPU power",Dup: IKSWL-38789,,
IKUT-815438,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815456,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815520,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815552,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815557,LPD23.215,,André Marangone,Hola Launcher' (com.hola.launcher) -- high cons,Dup: IKSWL-39624,,
IKUT-815644,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815668,LPD23.215,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815746,LPD23.216 retasia,,André Marangone,GIC 178 'wcnss_wlan' interrupts without wifi tethering,Dup: IKSWL-39736,10/29/2015,13
IKUT-815766,LPD23.216 retasia,,André Marangone,GIC 178 'wcnss_wlan' interrupts without wifi tethering,Moved to WiSL - WiFi: IKSWL-39736,,
IKUT-815767,LPD23.216 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815824,LPD23.216 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-816031,LPD23.216 retasia,,André Marangone,Ok,Closed - Cancelled,,
IKUT-816045,LPD23.216 retasia,,André Marangone,GIC 178 'wcnss_wlan' interrupts without wifi tethering,Dup: IKSWL-39736,,
IKUT-815749,LPD23.216,,André Marangone,Ok,Closed - Cancelled,,
IKUT-815980,LPD23.216,,André Marangone,Ok,Closed - Cancelled,,
IKUT-816038,LPD23.216,,André Marangone,Ok,Closed - Cancelled,,
IKUT-816072,LPD23.216,,André Marangone,GIC 178 'wcnss_wlan' interrupts without wifi tethering,Dup: IKSWL-39736,,
IKUT-816097,LPD23.216,,André Marangone,Ok,Closed - Cancelled,HIgh Current - DC,
IKUT-815820,LPD23.215 retail,,André Marangone,,,,
IKUT-815741,LPD23.215,,André Marangone,,,,
